"country","total_suicides"
"Japan",251630
"Russian Federation",214330
"United States",213797
"France",89419
"Republic of Korea",82615
"Germany",79707
"Ukraine",61377
"Brazil",49015
"Italy",32881
"United Kingdom",32687
"Thailand",28101
"Spain",24669
"Canada",24184
"Poland",21063
"Mexico",19334
"Argentina",18326
"Kazakhstan",18160
"Hungary",18115
"Belgium",18012
"Netherlands",16886
"Australia",15326
"Sri Lanka",13598
"Austria",13195
"Romania",13182
"Cuba",11675
"Colombia",11343
"Sweden",11183
"Belarus",10002
"Bulgaria",9968
"Uzbekistan",9260
"Czech Republic",9247
"Switzerland",7739
"Finland",7660
"Chile",6834
"Serbia",6763
"Ecuador",6238
"Portugal",5874
"Philippines",5273
"Lithuania",5011
"Norway",4685
"Croatia",4675
"Denmark",4329
"Singapore",3793
"New Zealand",3355
"El Salvador",3345
"Uruguay",2820
"Israel",2681
"Kyrgyzstan",2637
"Turkey",2569
"Greece",2540
"Latvia",2474
"Ireland",2451
"Slovenia",2302
"Turkmenistan",2096
"Slovakia",2024
"Guatemala",1973
"South Africa",1602
"Paraguay",1457
"Estonia",1393
"Puerto Rico",1054
"Mauritius",995
"Costa Rica",979
"Trinidad and Tobago",820
"Guyana",818
"Georgia",694
"Albania",693
"Suriname",568
"Luxembourg",542
"Panama",512
"Armenia",495
"Nicaragua",482
"Azerbaijan",412
"Kuwait",301
"Iceland",255
"Montenegro",144
"Malta",110
"United Arab Emirates",98
"Fiji",91
"Cyprus",82
"Bahrain",80
"Bosnia and Herzegovina",70
"Mongolia",52
"Belize",51
"Qatar",50
"Saint Lucia",34
"Barbados",33
"Jamaica",26
"Aruba",17
"Bahamas",14
"Macau",12
"Saint Vincent and Grenadines",11
"Kiribati",10
"Seychelles",9
"Maldives",6
"Cabo Verde",5
"Grenada",4
"Antigua and Barbuda",1
"Saint Kitts and Nevis",0
"Oman",0
"San Marino",0
"Dominica",0
