"country","total_suicides"
"Russian Federation",995412
"United States",820216
"Japan",555272
"Ukraine",258573
"France",239708
"Germany",211555
"Republic of Korea",179115
"Brazil",177598
"Poland",118035
"United Kingdom",104118
"Italy",99179
"Mexico",91805
"Kazakhstan",83386
"Canada",83377
"Thailand",82542
"Spain",75533
"Argentina",63893
"Romania",59595
"Hungary",55776
"Australia",54785
"Belarus",49890
"Belgium",44749
"Sri Lanka",42043
"Colombia",41737
"Austria",36878
"Czech Republic",34440
"Chile",34061
"Netherlands",33947
"Cuba",29743
"Sweden",26612
"Bulgaria",26420
"Finland",26017
"Uzbekistan",25543
"Lithuania",23028
"Switzerland",18478
"Portugal",18187
"Serbia",17416
"Philippines",16057
"Ecuador",14422
"Croatia",13754
"Norway",12307
"Slovakia",11413
"New Zealand",11028
"Denmark",10968
"Kyrgyzstan",10453
"Uruguay",10318
"Latvia",10296
"Ireland",10123
"Greece",9828
"Israel",8613
"El Salvador",8338
"Slovenia",8313
"Puerto Rico",7989
"Turkey",7562
"Turkmenistan",6528
"Singapore",6296
"Guatemala",6176
"Costa Rica",5813
"South Africa",5719
"Estonia",5641
"Paraguay",3326
"Trinidad and Tobago",3219
"Panama",2971
"Mauritius",2899
"Guyana",2608
"Georgia",2530
"Suriname",1598
"Nicaragua",1531
"Luxembourg",1416
"Armenia",1410
"Albania",1277
"Azerbaijan",1244
"Iceland",853
"Kuwait",665
"United Arab Emirates",524
"Qatar",524
"Malta",475
"Bahrain",383
"Mongolia",371
"Cyprus",330
"Montenegro",328
"Belize",297
"Bosnia and Herzegovina",248
"Fiji",213
"Saint Lucia",196
"Jamaica",158
"Barbados",144
"Saint Vincent and Grenadines",113
"Seychelles",89
"Aruba",84
"Bahamas",79
"Kiribati",43
"Cabo Verde",37
"Grenada",34
"Oman",33
"Macau",15
"Maldives",14
"Antigua and Barbuda",10
"San Marino",4
"Saint Kitts and Nevis",0
"Dominica",0
