"show_id","type","title","director","listed_in","description","country","date_added","rating"
"s8","Movie","Sankofa","Haile Gerima","Dramas, Independent Movies, International Movies","On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.","United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia","September 24, 2021","TV-MA"
"s10","Movie","The Starling","Theodore Melfi","Comedies, Dramas","A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.","United States","September 24, 2021","PG-13"
"s13","Movie","Je Suis Karl","Christian Schwochow","Dramas, International Movies","After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.","Germany, Czech Republic","September 23, 2021","TV-MA"
"s31","Movie","Ankahi Kahaniya","Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary","Dramas, Independent Movies, International Movies","As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",NULL,"September 17, 2021","TV-14"
"s35","TV Show","Tayo and Little Wizards",NULL,"Kids' TV","Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.",NULL,"September 17, 2021","TV-Y7"
"s36","Movie","The Father Who Moves Mountains","Daniel Sandu","Dramas, International Movies, Thrillers","When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him.",NULL,"September 17, 2021","TV-MA"
"s37","Movie","The Stronghold","Cédric Jimenez","Action & Adventure, Dramas, International Movies","Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.",NULL,"September 17, 2021","TV-MA"
"s38","TV Show","Angry Birds",NULL,"Kids' TV, TV Comedies","Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.","Finland","September 16, 2021","TV-Y7"
"s39","Movie","Birth of the Dragon","George Nolfi","Action & Adventure, Dramas","A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.","China, Canada, United States","September 16, 2021","PG-13"
"s40","TV Show","Chhota Bheem",NULL,"Kids' TV","A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.","India","September 16, 2021","TV-Y7"
"s41","TV Show","He-Man and the Masters of the Universe",NULL,"Kids' TV, TV Sci-Fi & Fantasy","Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.","United States","September 16, 2021","TV-Y7"
"s42","Movie","Jaws","Steven Spielberg","Action & Adventure, Classic Movies, Dramas","When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.","United States","September 16, 2021","PG"
"s43","Movie","Jaws 2","Jeannot Szwarc","Dramas, Horror Movies, Thrillers","Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.","United States","September 16, 2021","PG"
"s49","Movie","Training Day","Antoine Fuqua","Dramas, Thrillers","A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.","United States","September 16, 2021","R"
"s66","TV Show","Numberblocks",NULL,"Kids' TV","In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together.","United Kingdom","September 15, 2021","TV-Y"
"s68","TV Show","Saved by the Bell",NULL,"Kids' TV, TV Comedies","From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series.","United States","September 15, 2021","TV-PG"
