"type","title","release_year"
"Movie","Dick Johnson Is Dead",2020
"Movie","Europe's Most Dangerous Man: Otto Skorzeny in Spain",2020
"Movie","Tughlaq Durbar",2020
"Movie","Omo Ghetto: the Saga",2020
"Movie","Shadow Parties",2020
"Movie","Here and There",2020
"Movie","Shikara",2020
"Movie","Really Love",2020
"Movie","The Old Ways",2020
"Movie","A Faraway Land",2020
"Movie","Nneka The Pretty Serpent",2020
"Movie","Out of my league",2020
"Movie","Unroyal",2020
"Movie","La diosa del asfalto",2020
"Movie","Takizawa Kabuki ZERO 2020 The Movie",2020
"Movie","Quam's Money",2020
"Movie","I'm Glad I Did",2020
"Movie","Sanitation Day",2020
"Movie","Milkwater",2020
"Movie","2 Weeks in Lagos",2020
"Movie","Born to Play",2020
"Movie","Finding Hubby",2020
"Movie","Clash",2020
"Movie","Mama Drama",2020
"Movie","Therapy",2020
"Movie","Har Kisse Ke Hisse: Kaamyaab",2020
"Movie","Holiday on Mars",2020
"Movie","RattleSnake - The Ahanna Story",2020
"Movie","Voiceless",2020
"Movie","Deranged",2020
"Movie","A Way Back Home",2020
"Movie","Kambili: The Whole 30 Yards",2020
"Movie","Fan Girl",2020
"Movie","Silver Skates",2020
"Movie","Rogue Warfare: Death of a Nation",2020
"Movie","Picture a Scientist",2020
"Movie","Small Chops",2020
"Movie","From Stress to Happiness",2020
"Movie","2 Hearts",2020
"Movie","Sam Smith: Love Goes - Live at Abbey Road Studios",2020
"Movie","Strain",2020
"Movie","Hating Peter Tatchell",2020
"Movie","Love or Money",2020
"Movie","The Strange House",2020
"Movie","Wave of Cinema: Filosofi Kopi",2020
"Movie","Dear Affy",2020
"Movie","Illegal Woman",2020
"Movie","In Our Mothers' Gardens",2020
"Movie","Time to Dance",2020
"Movie","And Tomorrow the Entire World",2020
"Movie","Aliens Stole My Body",2020
"Movie","Sitting in Limbo",2020
"Movie","One",2020
"Movie","One Like It",2020
"Movie","Perfume Imaginary Museum “Time Warp”",2020
"Movie","This Lady Called Life",2020
"Movie","Wild Dog",2020
"Movie","Rudra: Secret of the Black Moon",2020
"Movie","Four Sisters Before the Wedding",2020
"Movie","Into the Beat",2020
"Movie","Synchronic",2020
"Movie","Dark City Beneath the Beat",2020
"Movie","Wave of Cinema: One Day We'll Talk About Today",2020
"Movie","Uppena",2020
"Movie","The Stand-In",2020
"Movie","Story of Kale: When Someone's in Love",2020
"Movie","Coded Bias",2020
"Movie","The Fisherman's Diary",2020
