"state","total_sales","total_profit","profit_prcnt"
"Texas",170187,-25714,-15.10926216456016029400
"Pennsylvania",116522,-15550,-13.34511937659841060100
"Florida",89479,-3412,-3.81318521664301120900
"Illinois",80162,-12607,-15.72690302138170205300
"Ohio",78253,-16962,-21.67584629343283963600
"North Carolina",55604,-7495,-13.47924609740306452800
"Arizona",35283,-3432,-9.72706402516792789700
"Colorado",32110,-6527,-20.32700093428838368100
"Tennessee",30662,-5347,-17.43852325353858195800
"Oregon",17431,-1187,-6.80970684412827720700
