"product_name","total_sales","total_profit","profit_prcnt"
"Canon imageCLASS 2200 Advanced Copier",61600,25200,40.90909090909090909100
"Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind",27454,7751,28.23268011947257230300
"HON 5400 Series Task Chairs for Big and Tall",21870,1,0.004572473708276177412000
"GBC DocuBind TL300 Electric Binding System",19824,2233,11.26412429378531073400
"GBC Ibimaster 500 Manual ProClick Binding System",19026,763,4.01030169242089771900
"Hewlett Packard LaserJet 3310 Copier",18840,6984,37.07006369426751592400
"HP Designjet T520 Inkjet Large Format Printer - 24 Color",18375,4095,22.28571428571428571400
"Ibico EPK-21 Electric Binding System",15876,3345,21.06953892668178382500
"3D Systems Cube Printer 2nd Generation Magenta",14300,3718,26.00000000000000000000
"Samsung Galaxy Mega 6.3",13944,1823,13.07372346528973035000
"Apple iPhone 5",12998,1612,12.40190798584397599600
"Global Troy Executive Leather Low-Back Tilter",12976,951,7.32891491985203452500
"Canon PC1060 Personal Laser Copier",11620,4571,39.33734939759036144600
"SAFCO Arco Folding Chair",11575,1178,10.17710583153347732200
"Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room",11304,3248,28.73319179051663128100
"DMI Eclipse Executive Suite Bookcases",11048,90,0.81462708182476466300
"Tennsco 6- and 18-Compartment Lockers",10925,1575,14.41647597254004576700
"Plantronics CS510 - Over-the-Head monaural Wireless Headset System",10824,3085,28.50147819660014782000
"Hon Deluxe Fabric Upholstered Stacking Chairs Rounded Back",10638,1928,18.12370746380898665200
"Logitech P710e Mobile Speakerphone",10194,1646,16.14675299195605258000
"Tennsco Double-Tier Lockers",9630,431,4.47559709241952232600
"Plantronics Savi W720 Multi-Device Wireless Headset System",9368,3697,39.46413321947053800200
"Bady BDG101FRU Card Printer",9280,1328,14.31034482758620689700
"GuestStacker Chair with Chrome Finish Legs",9070,773,8.52260198456449834600
"Canon Imageclass D680 Copier / Fax",8960,2800,31.25000000000000000000
"Hewlett Packard 610 Color Digital Copier / Printer",8900,3125,35.11235955056179775300
